APURAÇÃO;PRODUTO;VENDEDOR;SUPERVISOR;CANAL_VENDAS;META
;;;;Lojas Afiliadas;8800
;;;;Lojas Próprias;10600
;;Ítalo Teotônio;Carleta Joaquina;Internet;5800
;;;;Lojas Afiliadas;8800
;;;;Lojas Próprias;10600
;;Jack Bauer;Teobaldo Souza;Internet;5800
;;;;Lojas Afiliadas;8800
;;;;Lojas Próprias;10600
;;Michael Scofield;Astolfo Péricles;Internet;5800
;;;;Lojas Afiliadas;8800
;;;;Lojas Próprias;10600
;;Norma Bates;Teobaldo Souza;Internet;5800
;;;;Lojas Afiliadas;8800
;;;;Lojas Próprias;10600
;;Randal Pearson;Josvaldo Ferreira;Internet;5800
;;;;Lojas Afiliadas;8800
;;;;Lojas Próprias;10600
;;Shaun Murphy;Clementina Silva;Internet;5800
;;;;Lojas Afiliadas;8800
;;;;Lojas Próprias;10600
;;Thomas Shelby;Carleta Joaquina;Internet;5800
;;;;Lojas Afiliadas;8800
;;;;Lojas Próprias;10600
;;Walter White;Carleta Joaquina;Internet;5800
;;;;Lojas Afiliadas;8800
;;;;Lojas Próprias;10600
;Cerveja Diamante;Annalise Keating;Josvaldo Ferreira;Internet;11700
;;;;Lojas Afiliadas;20600
;;;;Lojas Próprias;21200
;;Dexter Morgan;Josvaldo Ferreira;Internet;11700
;;;;Lojas Afiliadas;20600
;;;;Lojas Próprias;21200
;;Elliot Alderson;Clementina Silva;Internet;11700
;;;;Lojas Afiliadas;20600
;;;;Lojas Próprias;21200
;;Gregory House;Clementina Silva;Internet;11700
;;;;Lojas Afiliadas;20600
;;;;Lojas Próprias;21200
;;Ítalo Teotônio;Carleta Joaquina;Internet;11700
;;;;Lojas Afiliadas;20600
;;;;Lojas Próprias;21200
;;Jack Bauer;Teobaldo Souza;Internet;11700
;;;;Lojas Afiliadas;20600
;;;;Lojas Próprias;21200
;;Michael Scofield;Astolfo Péricles;Internet;11700
;;;;Lojas Afiliadas;20600
;;;;Lojas Próprias;21200
;;Norma Bates;Teobaldo Souza;Internet;11700
;;;;Lojas Afiliadas;20600
;;;;Lojas Próprias;21200
;;Randal Pearson;Josvaldo Ferreira;Internet;11700
;;;;Lojas Afiliadas;20600
;;;;Lojas Próprias;21200
;;Shaun Murphy;Clementina Silva;Internet;11700
;;;;Lojas Afiliadas;20600
;;;;Lojas Próprias;21200
;;Thomas Shelby;Carleta Joaquina;Internet;11700
;;;;Lojas Afiliadas;20600
;;;;Lojas Próprias;21200
;;Walter White;Carleta Joaquina;Internet;11700
;;;;Lojas Afiliadas;20600
;;;;Lojas Próprias;21200
;Cerveja Ouro;Annalise Keating;Josvaldo Ferreira;Internet;10800
;;;;Lojas Afiliadas;12300
;;;;Lojas Próprias;17100
;;Dexter Morgan;Josvaldo Ferreira;Internet;10800
;;;;Lojas Afiliadas;12300
;;;;Lojas Próprias;17100
;;Elliot Alderson;Clementina Silva;Internet;10800
;;;;Lojas Afiliadas;12300
;;;;Lojas Próprias;17100
;;Gregory House;Clementina Silva;Internet;10800
;;;;Lojas Afiliadas;12300
;;;;Lojas Próprias;17100
;;Ítalo Teotônio;Carleta Joaquina;Internet;10800
;;;;Lojas Afiliadas;12300
;;;;Lojas Próprias;17100
;;Jack Bauer;Teobaldo Souza;Internet;10800
;;;;Lojas Afiliadas;12300
;;;;Lojas Próprias;17100
;;Michael Scofield;Astolfo Péricles;Internet;10800
;;;;Lojas Afiliadas;12300
;;;;Lojas Próprias;17100
;;Norma Bates;Teobaldo Souza;Internet;10800
;;;;Lojas Afiliadas;12300
;;;;Lojas Próprias;17100
;;Randal Pearson;Josvaldo Ferreira;Internet;10800
;;;;Lojas Afiliadas;12300
;;;;Lojas Próprias;17100
;;Shaun Murphy;Clementina Silva;Internet;10800
;;;;Lojas Afiliadas;12300
;;;;Lojas Próprias;17100
;;Thomas Shelby;Carleta Joaquina;Internet;10800
;;;;Lojas Afiliadas;12300
;;;;Lojas Próprias;17100
;;Walter White;Carleta Joaquina;Internet;10800
;;;;Lojas Afiliadas;12300
;;;;Lojas Próprias;17100
;Cerveja Prata;Annalise Keating;Josvaldo Ferreira;Internet;11700
;;;;Lojas Afiliadas;11400
;;;;Lojas Próprias;12600
;;Dexter Morgan;Josvaldo Ferreira;Internet;11700
;;;;Lojas Afiliadas;11400
;;;;Lojas Próprias;12600
;;Elliot Alderson;Clementina Silva;Internet;11700
;;;;Lojas Afiliadas;11400
;;;;Lojas Próprias;12600
;;Gregory House;Clementina Silva;Internet;11700
;;;;Lojas Afiliadas;11400
;;;;Lojas Próprias;12600
;;Ítalo Teotônio;Carleta Joaquina;Internet;11700
;;;;Lojas Afiliadas;11400
;;;;Lojas Próprias;12600
;;Jack Bauer;Teobaldo Souza;Internet;11700
;;;;Lojas Afiliadas;11400
;;;;Lojas Próprias;12600
;;Michael Scofield;Astolfo Péricles;Internet;11700
;;;;Lojas Afiliadas;11400
;;;;Lojas Próprias;12600
;;Norma Bates;Teobaldo Souza;Internet;11700
;;;;Lojas Afiliadas;11400
;;;;Lojas Próprias;12600
;;Randal Pearson;Josvaldo Ferreira;Internet;11700
;;;;Lojas Afiliadas;11400
;;;;Lojas Próprias;12600
;;Shaun Murphy;Clementina Silva;Internet;11700
;;;;Lojas Afiliadas;11400
;;;;Lojas Próprias;12600
;;Thomas Shelby;Carleta Joaquina;Internet;11700
;;;;Lojas Afiliadas;11400
;;;;Lojas Próprias;12600
;;Walter White;Carleta Joaquina;Internet;11700
;;;;Lojas Afiliadas;11400
;;;;Lojas Próprias;12600
;Refrigerante Bronze;Annalise Keating;Josvaldo Ferreira;Internet;6300
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;10100
;;Dexter Morgan;Josvaldo Ferreira;Internet;6300
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;10100
;;Elliot Alderson;Clementina Silva;Internet;6300
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;10100
;;Gregory House;Clementina Silva;Internet;6300
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;10100
;;Ítalo Teotônio;Carleta Joaquina;Internet;6300
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;10100
;;Jack Bauer;Teobaldo Souza;Internet;6300
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;10100
;;Michael Scofield;Astolfo Péricles;Internet;6300
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;10100
;;Norma Bates;Teobaldo Souza;Internet;6300
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;10100
;;Randal Pearson;Josvaldo Ferreira;Internet;6300
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;10100
;;Shaun Murphy;Clementina Silva;Internet;6300
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;10100
;;Thomas Shelby;Carleta Joaquina;Internet;6300
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;10100
;;Walter White;Carleta Joaquina;Internet;6300
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;10100
;Refrigerante Diamante;Annalise Keating;Josvaldo Ferreira;Internet;10500
;;;;Lojas Afiliadas;16600
;;;;Lojas Próprias;11000
;;Dexter Morgan;Josvaldo Ferreira;Internet;10500
;;;;Lojas Afiliadas;16600
;;;;Lojas Próprias;11000
;;Elliot Alderson;Clementina Silva;Internet;10500
;;;;Lojas Afiliadas;16600
;;;;Lojas Próprias;11000
;;Gregory House;Clementina Silva;Internet;10500
;;;;Lojas Afiliadas;16600
;;;;Lojas Próprias;11000
;;Ítalo Teotônio;Carleta Joaquina;Internet;10500
;;;;Lojas Afiliadas;16600
;;;;Lojas Próprias;11000
;;Jack Bauer;Teobaldo Souza;Internet;10500
;;;;Lojas Afiliadas;16600
;;;;Lojas Próprias;11000
;;Michael Scofield;Astolfo Péricles;Internet;10500
;;;;Lojas Afiliadas;16600
;;;;Lojas Próprias;11000
;;Norma Bates;Teobaldo Souza;Internet;10500
;;;;Lojas Afiliadas;16600
;;;;Lojas Próprias;11000
;;Randal Pearson;Josvaldo Ferreira;Internet;10500
;;;;Lojas Afiliadas;16600
;;;;Lojas Próprias;11000
;;Shaun Murphy;Clementina Silva;Internet;10500
;;;;Lojas Afiliadas;16600
;;;;Lojas Próprias;11000
;;Thomas Shelby;Carleta Joaquina;Internet;10500
;;;;Lojas Afiliadas;16600
;;;;Lojas Próprias;11000
;;Walter White;Carleta Joaquina;Internet;10500
;;;;Lojas Afiliadas;16600
;;;;Lojas Próprias;11000
;Refrigerante Ouro;Annalise Keating;Josvaldo Ferreira;Internet;10500
;;;;Lojas Afiliadas;8200
;;;;Lojas Próprias;12900
;;Dexter Morgan;Josvaldo Ferreira;Internet;10500
;;;;Lojas Afiliadas;8200
;;;;Lojas Próprias;12900
;;Elliot Alderson;Clementina Silva;Internet;10500
;;;;Lojas Afiliadas;8200
;;;;Lojas Próprias;12900
;;Gregory House;Clementina Silva;Internet;10500
;;;;Lojas Afiliadas;8200
;;;;Lojas Próprias;12900
;;Ítalo Teotônio;Carleta Joaquina;Internet;10500
;;;;Lojas Afiliadas;8200
;;;;Lojas Próprias;12900
;;Jack Bauer;Teobaldo Souza;Internet;10500
;;;;Lojas Afiliadas;8200
;;;;Lojas Próprias;12900
;;Michael Scofield;Astolfo Péricles;Internet;10500
;;;;Lojas Afiliadas;8200
;;;;Lojas Próprias;12900
;;Norma Bates;Teobaldo Souza;Internet;10500
;;;;Lojas Afiliadas;8200
;;;;Lojas Próprias;12900
;;Randal Pearson;Josvaldo Ferreira;Internet;10500
;;;;Lojas Afiliadas;8200
;;;;Lojas Próprias;12900
;;Shaun Murphy;Clementina Silva;Internet;10500
;;;;Lojas Afiliadas;8200
;;;;Lojas Próprias;12900
;;Thomas Shelby;Carleta Joaquina;Internet;10500
;;;;Lojas Afiliadas;8200
;;;;Lojas Próprias;12900
;;Walter White;Carleta Joaquina;Internet;10500
;;;;Lojas Afiliadas;8200
;;;;Lojas Próprias;12900
;Refrigerante Prata;Annalise Keating;Josvaldo Ferreira;Internet;7800
;;;;Lojas Afiliadas;9800
;;;;Lojas Próprias;11300
;;Dexter Morgan;Josvaldo Ferreira;Internet;7800
;;;;Lojas Afiliadas;9800
;;;;Lojas Próprias;11300
;;Elliot Alderson;Clementina Silva;Internet;7800
;;;;Lojas Afiliadas;9800
;;;;Lojas Próprias;11300
;;Gregory House;Clementina Silva;Internet;7800
;;;;Lojas Afiliadas;9800
;;;;Lojas Próprias;11300
;;Ítalo Teotônio;Carleta Joaquina;Internet;7800
;;;;Lojas Afiliadas;9800
;;;;Lojas Próprias;11300
;;Jack Bauer;Teobaldo Souza;Internet;7800
;;;;Lojas Afiliadas;9800
;;;;Lojas Próprias;11300
;;Michael Scofield;Astolfo Péricles;Internet;7800
;;;;Lojas Afiliadas;9800
;;;;Lojas Próprias;11300
;;Norma Bates;Teobaldo Souza;Internet;7800
;;;;Lojas Afiliadas;9800
;;;;Lojas Próprias;11300
;;Randal Pearson;Josvaldo Ferreira;Internet;7800
;;;;Lojas Afiliadas;9800
;;;;Lojas Próprias;11300
;;Shaun Murphy;Clementina Silva;Internet;7800
;;;;Lojas Afiliadas;9800
;;;;Lojas Próprias;11300
;;Thomas Shelby;Carleta Joaquina;Internet;7800
;;;;Lojas Afiliadas;9800
;;;;Lojas Próprias;11300
;;Walter White;Carleta Joaquina;Internet;7800
;;;;Lojas Afiliadas;9800
;;;;Lojas Próprias;11300
;Suco Bronze;Annalise Keating;Josvaldo Ferreira;Internet;4700
;;;;Lojas Afiliadas;6000
;;;;Lojas Próprias;7400
;;Dexter Morgan;Josvaldo Ferreira;Internet;4700
;;;;Lojas Afiliadas;6000
;;;;Lojas Próprias;7400
;;Elliot Alderson;Clementina Silva;Internet;4700
;;;;Lojas Afiliadas;6000
;;;;Lojas Próprias;7400
;;Gregory House;Clementina Silva;Internet;4700
;;;;Lojas Afiliadas;6000
;;;;Lojas Próprias;7400
;;Ítalo Teotônio;Carleta Joaquina;Internet;4700
;;;;Lojas Afiliadas;6000
;;;;Lojas Próprias;7400
;;Jack Bauer;Teobaldo Souza;Internet;4700
;;;;Lojas Afiliadas;6000
;;;;Lojas Próprias;7400
;;Michael Scofield;Astolfo Péricles;Internet;4700
;;;;Lojas Afiliadas;6000
;;;;Lojas Próprias;7400
;;Norma Bates;Teobaldo Souza;Internet;4700
;;;;Lojas Afiliadas;6000
;;;;Lojas Próprias;7400
;;Randal Pearson;Josvaldo Ferreira;Internet;4700
;;;;Lojas Afiliadas;6000
;;;;Lojas Próprias;7400
;;Shaun Murphy;Clementina Silva;Internet;4700
;;;;Lojas Afiliadas;6000
;;;;Lojas Próprias;7400
;;Thomas Shelby;Carleta Joaquina;Internet;4700
;;;;Lojas Afiliadas;6000
;;;;Lojas Próprias;7400
;;Walter White;Carleta Joaquina;Internet;4700
;;;;Lojas Afiliadas;6000
;;;;Lojas Próprias;7400
;Suco Diamante;Annalise Keating;Josvaldo Ferreira;Internet;5600
;;;;Lojas Afiliadas;6400
;;;;Lojas Próprias;9200
;;Dexter Morgan;Josvaldo Ferreira;Internet;5600
;;;;Lojas Afiliadas;6400
;;;;Lojas Próprias;9200
;;Elliot Alderson;Clementina Silva;Internet;5600
;;;;Lojas Afiliadas;6400
;;;;Lojas Próprias;9200
;;Gregory House;Clementina Silva;Internet;5600
;;;;Lojas Afiliadas;6400
;;;;Lojas Próprias;9200
;;Ítalo Teotônio;Carleta Joaquina;Internet;5600
;;;;Lojas Afiliadas;6400
;;;;Lojas Próprias;9200
;;Jack Bauer;Teobaldo Souza;Internet;5600
;;;;Lojas Afiliadas;6400
;;;;Lojas Próprias;9200
;;Michael Scofield;Astolfo Péricles;Internet;5600
;;;;Lojas Afiliadas;6400
;;;;Lojas Próprias;9200
;;Norma Bates;Teobaldo Souza;Internet;5600
;;;;Lojas Afiliadas;6400
;;;;Lojas Próprias;9200
;;Randal Pearson;Josvaldo Ferreira;Internet;5600
;;;;Lojas Afiliadas;6400
;;;;Lojas Próprias;9200
;;Shaun Murphy;Clementina Silva;Internet;5600
;;;;Lojas Afiliadas;6400
;;;;Lojas Próprias;9200
;;Thomas Shelby;Carleta Joaquina;Internet;5600
;;;;Lojas Afiliadas;6400
;;;;Lojas Próprias;9200
;;Walter White;Carleta Joaquina;Internet;5600
;;;;Lojas Afiliadas;6400
;;;;Lojas Próprias;9200
;Suco Ouro;Annalise Keating;Josvaldo Ferreira;Internet;5500
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;6900
;;Dexter Morgan;Josvaldo Ferreira;Internet;5500
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;6900
;;Elliot Alderson;Clementina Silva;Internet;5500
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;6900
;;Gregory House;Clementina Silva;Internet;5500
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;6900
;;Ítalo Teotônio;Carleta Joaquina;Internet;5500
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;6900
;;Jack Bauer;Teobaldo Souza;Internet;5500
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;6900
;;Michael Scofield;Astolfo Péricles;Internet;5500
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;6900
;;Norma Bates;Teobaldo Souza;Internet;5500
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;6900
;;Randal Pearson;Josvaldo Ferreira;Internet;5500
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;6900
;;Shaun Murphy;Clementina Silva;Internet;5500
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;6900
;;Thomas Shelby;Carleta Joaquina;Internet;5500
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;6900
;;Walter White;Carleta Joaquina;Internet;5500
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;6900
;Suco Prata;Annalise Keating;Josvaldo Ferreira;Internet;4100
;;;;Lojas Afiliadas;6600
;;;;Lojas Próprias;7200
;;Dexter Morgan;Josvaldo Ferreira;Internet;4100
;;;;Lojas Afiliadas;6600
;;;;Lojas Próprias;7200
;;Elliot Alderson;Clementina Silva;Internet;4100
;;;;Lojas Afiliadas;6600
;;;;Lojas Próprias;7200
;;Gregory House;Clementina Silva;Internet;4100
;;;;Lojas Afiliadas;6600
;;;;Lojas Próprias;7200
;;Ítalo Teotônio;Carleta Joaquina;Internet;4100
;;;;Lojas Afiliadas;6600
;;;;Lojas Próprias;7200
;;Jack Bauer;Teobaldo Souza;Internet;4100
;;;;Lojas Afiliadas;6600
;;;;Lojas Próprias;7200
;;Michael Scofield;Astolfo Péricles;Internet;4100
;;;;Lojas Afiliadas;6600
;;;;Lojas Próprias;7200
;;Norma Bates;Teobaldo Souza;Internet;4100
;;;;Lojas Afiliadas;6600
;;;;Lojas Próprias;7200
;;Randal Pearson;Josvaldo Ferreira;Internet;4100
;;;;Lojas Afiliadas;6600
;;;;Lojas Próprias;7200
;;Shaun Murphy;Clementina Silva;Internet;4100
;;;;Lojas Afiliadas;6600
;;;;Lojas Próprias;7200
;;Thomas Shelby;Carleta Joaquina;Internet;4100
;;;;Lojas Afiliadas;6600
;;;;Lojas Próprias;7200
;;Walter White;Carleta Joaquina;Internet;4100
;;;;Lojas Afiliadas;6600
;;;;Lojas Próprias;7200
31/08/2020;Café Bronze;Annalise Keating;Josvaldo Ferreira;Internet;4200
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;4600
;;Dexter Morgan;Josvaldo Ferreira;Internet;4200
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;4600
;;Elliot Alderson;Clementina Silva;Internet;4200
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;4600
;;Gregory House;Clementina Silva;Internet;4200
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;4600
;;Ítalo Teotônio;Carleta Joaquina;Internet;4200
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;4600
;;Jack Bauer;Teobaldo Souza;Internet;4200
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;4600
;;Michael Scofield;Astolfo Péricles;Internet;4200
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;4600
;;Norma Bates;Teobaldo Souza;Internet;4200
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;4600
;;Randal Pearson;Josvaldo Ferreira;Internet;4200
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;4600
;;Shaun Murphy;Clementina Silva;Internet;4200
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;4600
;;Thomas Shelby;Carleta Joaquina;Internet;4200
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;4600
;;Walter White;Carleta Joaquina;Internet;4200
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;4600
;Café Diamante;Annalise Keating;Josvaldo Ferreira;Internet;5800
;;;;Lojas Afiliadas;9200
;;;;Lojas Próprias;9900
;;Dexter Morgan;Josvaldo Ferreira;Internet;5800
;;;;Lojas Afiliadas;9200
;;;;Lojas Próprias;9900
;;Elliot Alderson;Clementina Silva;Internet;5800
;;;;Lojas Afiliadas;9200
;;;;Lojas Próprias;9900
;;Gregory House;Clementina Silva;Internet;5800
;;;;Lojas Afiliadas;9200
;;;;Lojas Próprias;9900
;;Ítalo Teotônio;Carleta Joaquina;Internet;5800
;;;;Lojas Afiliadas;9200
;;;;Lojas Próprias;9900
;;Jack Bauer;Teobaldo Souza;Internet;5800
;;;;Lojas Afiliadas;9200
;;;;Lojas Próprias;9900
;;Michael Scofield;Astolfo Péricles;Internet;5800
;;;;Lojas Afiliadas;9200
;;;;Lojas Próprias;9900
;;Norma Bates;Teobaldo Souza;Internet;5800
;;;;Lojas Afiliadas;9200
;;;;Lojas Próprias;9900
;;Randal Pearson;Josvaldo Ferreira;Internet;5800
;;;;Lojas Afiliadas;9200
;;;;Lojas Próprias;9900
;;Shaun Murphy;Clementina Silva;Internet;5800
;;;;Lojas Afiliadas;9200
;;;;Lojas Próprias;9900
;;Thomas Shelby;Carleta Joaquina;Internet;5800
;;;;Lojas Afiliadas;9200
;;;;Lojas Próprias;9900
;;Walter White;Carleta Joaquina;Internet;5800
;;;;Lojas Afiliadas;9200
;;;;Lojas Próprias;9900
;Café Ouro;Annalise Keating;Josvaldo Ferreira;Internet;5400
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;8200
;;Dexter Morgan;Josvaldo Ferreira;Internet;5400
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;8200
;;Elliot Alderson;Clementina Silva;Internet;5400
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;8200
;;Gregory House;Clementina Silva;Internet;5400
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;8200
;;Ítalo Teotônio;Carleta Joaquina;Internet;5400
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;8200
;;Jack Bauer;Teobaldo Souza;Internet;5400
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;8200
;;Michael Scofield;Astolfo Péricles;Internet;5400
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;8200
;;Norma Bates;Teobaldo Souza;Internet;5400
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;8200
;;Randal Pearson;Josvaldo Ferreira;Internet;5400
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;8200
;;Shaun Murphy;Clementina Silva;Internet;5400
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;8200
;;Thomas Shelby;Carleta Joaquina;Internet;5400
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;8200
;;Walter White;Carleta Joaquina;Internet;5400
;;;;Lojas Afiliadas;6800
;;;;Lojas Próprias;8200
;Café Prata;Annalise Keating;Josvaldo Ferreira;Internet;4400
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Dexter Morgan;Josvaldo Ferreira;Internet;4400
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Elliot Alderson;Clementina Silva;Internet;4400
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Gregory House;Clementina Silva;Internet;4400
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Ítalo Teotônio;Carleta Joaquina;Internet;4400
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Jack Bauer;Teobaldo Souza;Internet;4400
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Michael Scofield;Astolfo Péricles;Internet;4400
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Norma Bates;Teobaldo Souza;Internet;4400
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Randal Pearson;Josvaldo Ferreira;Internet;4400
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Shaun Murphy;Clementina Silva;Internet;4400
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Thomas Shelby;Carleta Joaquina;Internet;4400
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;;Walter White;Carleta Joaquina;Internet;4400
;;;;Lojas Afiliadas;4100
;;;;Lojas Próprias;5300
;Cerveja Bronze;Annalise Keating;Josvaldo Ferreira;Internet;8000
;;;;Lojas Afiliadas;8100
;;;;Lojas Próprias;9400
;;Dexter Morgan;Josvaldo Ferreira;Internet;8000
;;;;Lojas Afiliadas;8100
;;;;Lojas Próprias;9400
;;Elliot Alderson;Clementina Silva;Internet;8000
;;;;Lojas Afiliadas;8100
;;;;Lojas Próprias;9400
;;Gregory House;Clementina Silva;Internet;8000
;;;;Lojas Afiliadas;8100
;;;;Lojas Próprias;9400
;;Ítalo Teotônio;Carleta Joaquina;Internet;8000
;;;;Lojas Afiliadas;8100
;;;;Lojas Próprias;9400
;;Jack Bauer;Teobaldo Souza;Internet;8000
;;;;Lojas Afiliadas;8100
;;;;Lojas Próprias;9400
;;Michael Scofield;Astolfo Péricles;Internet;8000
;;;;Lojas Afiliadas;8100
;;;;Lojas Próprias;9400
;;Norma Bates;Teobaldo Souza;Internet;8000
;;;;Lojas Afiliadas;8100
;;;;Lojas Próprias;9400
;;Randal Pearson;Josvaldo Ferreira;Internet;8000
;;;;Lojas Afiliadas;8100
;;;;Lojas Próprias;9400
;;Shaun Murphy;Clementina Silva;Internet;8000
;;;;Lojas Afiliadas;8100
;;;;Lojas Próprias;9400
;;Thomas Shelby;Carleta Joaquina;Internet;8000
;;;;Lojas Afiliadas;8100
;;;;Lojas Próprias;9400
;;Walter White;Carleta Joaquina;Internet;8000
;;;;Lojas Afiliadas;8100
;;;;Lojas Próprias;9400
;Cerveja Diamante;Annalise Keating;Josvaldo Ferreira;Internet;16000
;;;;Lojas Afiliadas;17900
;;;;Lojas Próprias;16300
;;Dexter Morgan;Josvaldo Ferreira;Internet;16000
;;;;Lojas Afiliadas;17900
;;;;Lojas Próprias;16300
;;Elliot Alderson;Clementina Silva;Internet;16000
;;;;Lojas Afiliadas;17900
;;;;Lojas Próprias;16300
;;Gregory House;Clementina Silva;Internet;16000
;;;;Lojas Afiliadas;17900
;;;;Lojas Próprias;16300
;;Ítalo Teotônio;Carleta Joaquina;Internet;16000
;;;;Lojas Afiliadas;17900
;;;;Lojas Próprias;16300
;;Jack Bauer;Teobaldo Souza;Internet;16000
;;;;Lojas Afiliadas;17900
;;;;Lojas Próprias;16300
;;Michael Scofield;Astolfo Péricles;Internet;16000
;;;;Lojas Afiliadas;17900
;;;;Lojas Próprias;16300
;;Norma Bates;Teobaldo Souza;Internet;16000
;;;;Lojas Afiliadas;17900
;;;;Lojas Próprias;16300
;;Randal Pearson;Josvaldo Ferreira;Internet;16000
;;;;Lojas Afiliadas;17900
;;;;Lojas Próprias;16300
;;Shaun Murphy;Clementina Silva;Internet;16000
;;;;Lojas Afiliadas;17900
;;;;Lojas Próprias;16300
;;Thomas Shelby;Carleta Joaquina;Internet;16000
;;;;Lojas Afiliadas;17900
;;;;Lojas Próprias;16300
;;Walter White;Carleta Joaquina;Internet;16000
;;;;Lojas Afiliadas;17900
;;;;Lojas Próprias;16300
;Cerveja Ouro;Annalise Keating;Josvaldo Ferreira;Internet;9600
;;;;Lojas Afiliadas;11200
;;;;Lojas Próprias;18400
;;Dexter Morgan;Josvaldo Ferreira;Internet;9600
;;;;Lojas Afiliadas;11200
;;;;Lojas Próprias;18400
;;Elliot Alderson;Clementina Silva;Internet;9600
;;;;Lojas Afiliadas;11200
;;;;Lojas Próprias;18400
;;Gregory House;Clementina Silva;Internet;9600
;;;;Lojas Afiliadas;11200
;;;;Lojas Próprias;18400
;;Ítalo Teotônio;Carleta Joaquina;Internet;9600
;;;;Lojas Afiliadas;11200
;;;;Lojas Próprias;18400
;;Jack Bauer;Teobaldo Souza;Internet;9600
;;;;Lojas Afiliadas;11200
;;;;Lojas Próprias;18400
;;Michael Scofield;Astolfo Péricles;Internet;9600
;;;;Lojas Afiliadas;11200
;;;;Lojas Próprias;18400
;;Norma Bates;Teobaldo Souza;Internet;9600
;;;;Lojas Afiliadas;11200
;;;;Lojas Próprias;18400
;;Randal Pearson;Josvaldo Ferreira;Internet;9600
;;;;Lojas Afiliadas;11200
;;;;Lojas Próprias;18400
;;Shaun Murphy;Clementina Silva;Internet;9600
;;;;Lojas Afiliadas;11200
;;;;Lojas Próprias;18400
;;Thomas Shelby;Carleta Joaquina;Internet;9600
;;;;Lojas Afiliadas;11200
;;;;Lojas Próprias;18400
;;Walter White;Carleta Joaquina;Internet;9600
;;;;Lojas Afiliadas;11200
;;;;Lojas Próprias;18400
;Cerveja Prata;Annalise Keating;Josvaldo Ferreira;Internet;11500
;;;;Lojas Afiliadas;12100
;;;;Lojas Próprias;17200
